sweep,size,target_fps,phase,status,started_iso,elapsed_s,last_step,wns_ns,fmax_mhz,lut,lut_pct,ff,bram18,bram18_pct,dsp,dsp_pct,est_fps_fpga,est_latency_us,bitstream_mb,folding_json,cpu_layers_json,log_path,error_excerpt
mlp_int8_qi,large,1000,B,tool_fail,2026-05-02T12:17:46Z,2409,step_synthesize_bitfile,,,,,,,,,,,,,,,results/finn/size_sweep_qi/compile_logs/mlp_int8_large_qi.log,ERROR: [Common 17-69] Command failed: Run 'impl_1' failed. Unable to open
mlp_int8_qi,original,1000,B,success,2026-05-02T12:57:56Z,2426,step_deployment_package,0.663,107.1,49909,70.73,30879,429,99.31,7,1.94,1525.87890625,1497.6,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Flatten"", ""Flatten_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/mlp_int8_original_qi.log,
cnn_int8_qi,medium,200,B,success,2026-05-02T13:38:23Z,1686,step_deployment_package,1.193,113.55,34132,48.37,41122,58,13.43,9,2.5,221.44274376417235,7444.44,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 32}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 2, ""SIMD"": 4}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int8_medium_qi_fps200.log,
cnn_int8_qi,large,200,B,tool_fail,2026-05-02T14:06:30Z,1573,step_synthesize_bitfile,,,,,,,,,,,,,,,results/finn/size_sweep_qi/compile_logs/cnn_int8_large_qi_fps200.log,ERROR: [Common 17-69] Command failed: Run 'impl_1' failed. Unable to open
cnn_int8_qi,deep_3,200,B,success,2026-05-02T14:32:44Z,1766,step_deployment_package,2.283,129.58,29916,42.4,32967,312,72.22,5,1.39,221.44274376417235,10692.13,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 16}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 2}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_2"": {""PE"": null, ""SIMD"": 32}, ""ConvolutionInputGenerator_rtl_2"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""MaxPoolNHWC"", ""MaxPoolNHWC_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int8_deep_3_qi_fps200.log,
cnn_int4_qi,tiny,1000,B,success,2026-05-02T15:02:10Z,1296,step_deployment_package,5.728,234.08,10740,15.22,14599,16,3.7,4,1.11,1328.656462585034,1556.04,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 8}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int4_tiny_qi.log,
cnn_int4_qi,small,1000,B,success,2026-05-02T15:23:47Z,1323,step_deployment_package,5.344,214.78,12189,17.27,17189,34,7.87,15,4.17,1328.656462585034,1511.8,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 16}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 12}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int4_small_qi.log,
cnn_int4_qi,medium,1000,B,success,2026-05-02T15:45:51Z,1472,step_deployment_package,3.601,156.27,15626,22.15,22570,28,6.48,83,23.06,1328.656462585034,1925.08,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 32}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 8, ""SIMD"": 9}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int4_medium_qi.log,
cnn_int4_qi,deep_3,1000,B,success,2026-05-02T16:10:23Z,1506,step_deployment_package,4.865,194.74,14330,20.31,19887,43,9.95,27,7.5,1328.656462585034,2413.09,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 16}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 12}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_2"": {""PE"": null, ""SIMD"": 32}, ""ConvolutionInputGenerator_rtl_2"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 12}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""MaxPoolNHWC"", ""MaxPoolNHWC_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int4_deep_3_qi.log,
cnn_int4_qi,large,1000,B,success,2026-05-02T16:35:30Z,1743,step_deployment_package,3.506,153.99,19806,28.07,28043,46,10.65,163,45.28,1328.656462585034,2723.33,5.31,"{""FMPadding_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""StreamingMaxPool_hls_0"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_1"": {""PE"": null, ""SIMD"": 32}, ""ConvolutionInputGenerator_rtl_1"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 8, ""SIMD"": 9}, ""StreamingMaxPool_hls_1"": {""PE"": 1, ""SIMD"": null}, ""FMPadding_rtl_2"": {""PE"": null, ""SIMD"": 64}, ""ConvolutionInputGenerator_rtl_2"": {""PE"": null, ""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 8, ""SIMD"": 9}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Transpose"", ""Transpose_0""], [""MaxPoolNHWC"", ""MaxPoolNHWC_0""], [""Transpose"", ""Transpose_1""], [""GlobalAveragePool"", ""GlobalAveragePool_0""], [""Flatten"", ""Flatten_0""], [""MatMul"", ""MatMul_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/cnn_int4_large_qi.log,
mlp_int4_qi,tiny,1000,B,success,2026-05-02T17:04:34Z,1695,step_deployment_package,4.45,180.18,12017,17.03,18941,32,7.41,3,0.83,1992.984693877551,525.44,5.31,"{""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_rtl_0"": {""PE"": 1, ""SIMD"": 1}}","[[""MultiThreshold"", ""MultiThreshold_0""], [""Flatten"", ""Flatten_0""], [""Mul"", ""Mul_0""], [""Add"", ""Add_0""]]",results/finn/size_sweep_qi/compile_logs/mlp_int4_tiny_qi.log,
